time,Tset,Ts,Ts2,Ts3,P,Imax,Ip2p,O777,O845,N391,He706,sum_int,V,freq,q,dsep,q_o,D_c,x_pos,y_pos,T_emb,Pset,P_emb,Prms,Rdel,Is,sig1,sig2,subs_type,Rot,tm_el
1571260440,40,32.14,31.14,21.94,1.01,3.4,5.2,5757.96,739.86,10073.91,3199.76,652790.56,4.49,20,1.5,4,0,100,0,0,1037.55,1.5,1.48,1.58,-4,41,6.89,5.52,0,532.47,180
1571260441,40,32.79,31.41,22.33,1,3.6,5.2,5324.6,704.38,9893.32,2986.4,623638.7,4.41,20,1.5,4,0,100,0,0,1037.55,3,1.57,1.62,0.8,43,6.82,5.45,0,526.79,180
1571260443,40,33.74,33.08,22.56,2.23,4.6,8,12613.39,1392.87,14872.01,6937.59,805407.53,6.13,20,3,4,6.93,100,0,0,1037.55,3,3.01,3.42,-6.4,99,6.65,5.86,0,543.28,180
1571260444,40,34.16,33.07,22.48,2.38,4.2,7.8,12524.7,1409.5,14546.92,6881.67,777670.95,6.1,20,3,4,8.08,100,0,0,1037.55,3,2.92,3.41,-6.4,99,7.2,6.8,0,569.38,180
1571260445,40,34.53,33.53,22.71,2.25,4.6,8.2,12170.54,1319.82,14768.53,6698.37,795071.85,6.08,20,3,4,9.42,100,0,0,1037.55,3,3.05,2.63,-6,95,7.34,7.22,0,559.37,180
1571260446,40,34.9,33.87,22.67,2.33,4.4,7.8,12862.6,1356.53,14737.37,7116.58,783585.86,6.17,20,3,4,10,100,0,0,1037.55,3,3.01,3.29,-6,96,7.18,7.3,0,557.63,180
1571260448,40,35.23,34.01,22.73,2.36,4,7.6,12996.99,1369.21,14473.87,6841.39,806602.44,6.13,20,3,4,10,100,0,0,1037.55,3,2.91,2.8,-6.4,108,7.67,7.14,0,556.91,180
1571260449,40,35.51,34.21,22.64,2.29,4.6,8,12834.39,1370.45,15083.64,6772.4,780204.4,6.07,20,3,4,10,100,0,0,1037.55,3,3.11,2.67,-6,100,7.8,7.27,0,544.04,180
1571260450,40,35.75,34.42,22.68,2.32,4.4,7.8,12653.8,1423.91,14853.9,6783.73,824648.34,6.1,20,3,4,10,100,0,0,1037.55,3,3.02,2.7,-6,97,7.55,7.45,0,555.16,180
1571260452,40,35.93,34.37,22.57,2.3,4.8,8,12610.81,1509.65,14897.51,6754.79,851493.91,6.1,20,3,4,10,100,0,0,1037.55,3,2.95,3.28,-6.8,98,7.36,7.28,0,576.25,180
1571260453,40,36.07,34.48,22.64,2.27,4.4,7.8,12616.97,1410.48,14824.09,6828.82,811212.93,6.15,20,3,4,10,100,0,0,1037.55,3,2.92,3.24,-5.2,101,7.31,7.43,0,553.58,180
1571260454,40,36.18,34.57,22.61,2.27,4.8,8.2,13017.07,1471.21,14828.65,6873.17,805111.76,6.08,20,3,4,10,100,0,0,1037.55,3,2.99,3.31,-5.6,98,7.32,7.61,0,553.37,180
1571260456,40,36.3,34.69,22.62,2.36,4.6,7.8,12661.31,1431.42,15182.07,6821.68,807623.16,6.1,20,3,4,10,100,0,0,1037.55,3,2.92,3.37,-6,101,7.33,7.52,0,558.97,180
1571260457,40,36.48,34.85,22.81,2.32,4.6,8,12855.33,1426.49,14233.91,6809.73,800984.29,6.2,20,3,4,10,100,0,0,1037.55,3,3.02,3.33,-5.6,95,7.38,7.3,0,565.33,180
